fc_id,em_id,confidence
5HT1A-F-200016,1191315642,0.8
Cha-F-400298,1167304403,0.7
Cha-F-400298,1261000309,0.7
Gad1-F-700172,5813039309,0.0
TH-F-100083,331662710,1.0
TH-F-200037,331662710,1.0
TH-F-200096,331662710,1.0
TH-F-200106,5813041180,0.8
TH-M-000008,1131827390,0.3
TH-M-000021,604289581,0.3
TH-M-000021,550404663,0.2
TH-M-000032,859265651,0.8
TH-M-000032,5813027592,0.7
TH-M-200035,294436967,0.8
TH-M-200035,452971138,0.6
TH-M-300017,5813054384,0.8
TH-M-300017,947573616,0.7
Trh-F-000008,1671638278,0.9
Trh-F-100052,361312808,0.5
Trh-M-100024,329289084,0.8
Trh-M-700039,5813021583,0.4
Trh-M-700039,981000564,0.3
VGlut-F-200143,328870472,0.8
VGlut-F-200143,298612190,0.4
VGlut-F-200251,548712377,0.8
VGlut-F-200251,5813020996,0.8
VGlut-F-200319,424716408,0.5
VGlut-F-200392,857793013,0.3
VGlut-F-400186,1762359683,0.0
VGlut-F-400186,1916800213,0.0
VGlut-F-700541,1762359683,0.0
VGlut-F-700541,1888199872,0.7
Cha-F-000088,1640887603,0.7
Cha-F-000088,5813047691,0.7
Cha-F-000239,1640572741,0.0
Cha-F-000239,5813054726,0.0
Cha-F-000329,640539567,0.7
Cha-F-000329,1043705078,0.7
Cha-F-000427,573670049,0.7
Cha-F-000427,573333284,0.7
Cha-F-000461,487144598,0.3
Cha-F-100135,393063351,0.7
Cha-F-200299,5813027276,0.6
Cha-F-200299,1321564092,0.5
Cha-F-300267,328611004,0.7
Cha-F-300344,5812978978,0.7
Cha-F-300344,5813053836,0.7
Cha-F-300344,859507274,0.7
Cha-F-400237,5813098368,0.3
Cha-F-400237,5813027276,0.4
Cha-F-500071,1105169664,0.8
Cha-F-500071,1012954687,0.5
Cha-F-500310,5813009312,0.1
Cha-F-700236,360259229,0.0
Cha-F-800090,296139882,0.6
Cha-F-800090,297251714,0.6
E0585-F-600004,5813010510,0.5
GH146-M-000001,610274029,0.8
Gad1-F-000245,953414780,0.0
Gad1-F-000694,5813033371,0.3
Gad1-F-000694,1480525278,0.0
Gad1-F-000703,424716408,0.6
Gad1-F-000703,5813068669,0.2
Gad1-F-100171,1224595608,0.7
Gad1-F-100784,832016427,0.7
Gad1-F-200186,1916800213,0.2
Gad1-F-200186,1762359683,0.0
